m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
16,128,100,256,random-match-keyword-100-angular-filters,0,6.3715064999996684,15.803381499999887,0.0047748456800056375,0.01220172616999921,1.0,0.558359,0.0013605692638938988,0.005083792860054736,0.0022802000003139256,0.004524700000047233,0.034645900001123664,0.07885899999996582,1569.4875301469942,632.7759663335389,0.006949905000146828,0.020912899999984802,0.007803521000587353,0.02867340500003593
16,128,100,256,random-match-keyword-100-angular-no-filters,0,21.47259469999699,12.737363600000208,0.016731567229995564,0.009792402480000965,0.8161800000000001,0.60283,0.0017074636212753207,0.0021756593916001264,0.007593800000904594,0.004839700000047742,0.06113770000229124,0.028492800000094576,465.7099032377956,785.0918222982845,0.01898186500129668,0.013638605000369352,0.022006333999997883,0.016489486999935268
16,128,100,512,h-and-m-2048-angular-filters,0,39.21955109999544,27.362065900000744,0.023253631140030484,0.01097059434002731,0.999984,0.9981040000000001,0.010595353563091766,0.009041287653721057,0.003102700000454206,0.0027310000004945323,0.08085390000633197,0.11453799999435432,254.974871448775,365.46948013891483,0.04306311500295123,0.02479121499745814,0.0529375839988643,0.049787277998766595
16,128,100,512,h-and-m-2048-angular-no-filters,0,54.89764789999754,24.656900699999824,0.04286864794989524,0.009824117000032129,0.99976,0.9993700000000001,0.005021539885110124,0.002079249280368309,0.012851299994508736,0.005168899995624088,0.07550289999926463,0.03890530000353465,182.1571667007695,405.56597610015405,0.0506273900027736,0.013627920002909369,0.055209313998202565,0.016128425002898447
16,128,100,512,random-match-keyword-100-angular-filters,0,6.242438299999776,15.99184020000007,0.004676340740009982,0.012341943060001017,1.0,0.558359,0.0015131710668457481,0.005122425498155353,0.002184599999964121,0.004489899999953195,0.04379979999976058,0.10009730000001582,1601.9381401014982,625.3189048249717,0.006809305000842869,0.021010424999951736,0.007568337999546202,0.02823379699994121
16,128,100,512,random-match-keyword-100-angular-no-filters,0,35.45023730000321,17.751700899999378,0.027924249619976034,0.013786031330000878,0.89881,0.6959599999999999,0.0018972867256300842,0.0031829150004504337,0.007368099999439437,0.007021800000075018,0.07314320000295993,0.0618094999999812,282.08555884614896,563.3263007490369,0.03022151499753818,0.01951090999978077,0.03521624899945892,0.023368127999974606
16,128,100,64,h-and-m-2048-angular-filters,0,31.49958350000088,,0.0146273774800291,,0.9998239999999999,,0.004020679497084435,,0.003013900000951253,,0.03745150000031572,,317.4645150466742,,0.02100412000254437,,0.0239505439990171,
16,128,100,64,h-and-m-2048-angular-no-filters,0,23.211797999989358,,0.005746624400053406,,0.99854,,0.0012884314294018962,,0.0034574999881442636,,0.05648879999353085,,430.8153982730931,,0.006877080006961476,,0.008815876999869944,
16,128,100,64,random-match-keyword-100-angular-filters,0,6.370443100000557,,0.00477414582998772,,1.0,,0.0016343450035626397,,0.0021104000006744172,,0.04636159999972733,,1569.74952024909,,0.0069918250007503955,,0.008066210000033608,
16,128,100,64,random-match-keyword-100-angular-no-filters,0,9.356499199999234,,0.007088772789977156,,0.56338,,0.0018387560948755304,,0.003951700000470737,,0.0527111999981571,,1068.7758087983184,,0.009215420000509764,,0.012043131003010797,
32,128,1,128,h-and-m-2048-angular-filters,0,76.12352570000076,51.8735663999978,0.006692440620069829,0.004262953069990181,0.9999400000000002,0.997236,0.0021451677386495577,0.002136717113341051,0.001621399998839479,0.001994799997191876,0.018628700003318954,0.05150080000021262,131.36543411572305,192.7764118412422,0.010687185002097975,0.007336930001838482,0.012635110999181054,0.011151980998401997
