m,ef_construct,dataset,dataset_size,qdrant_upload_time,milvus_upload_time,qdrant_total_time,milvus_total_time
16,128,h-and-m-2048-angular-filters,0,39.68682270000136,34.53383490000124,383.11237090000213,336.66088090000267
16,128,h-and-m-2048-angular-no-filters,0,23.284004899993306,27.9676541000008,58.38691299999482,77.015230099998
16,128,random-match-keyword-100-angular-filters,0,109.95217489999959,121.8475004,180.14049780000096,493.6977277
16,128,random-match-keyword-100-angular-no-filters,0,108.04009589999987,107.72237930000028,263.3330320000023,389.3290471
32,128,h-and-m-2048-angular-filters,0,48.629851400000916,48.652413899995736,395.9874079000001,262.4945019999941
32,128,h-and-m-2048-angular-no-filters,0,28.249833800000488,34.81242100000236,73.38663269999961,83.18705000000045
32,128,random-match-keyword-100-angular-filters,0,112.16366979999839,131.0186521999999,377.6642017999984,698.6839794999999
32,128,random-match-keyword-100-angular-no-filters,0,110.36718899999687,125.65199570000004,370.8384505999966,471.3394108000002
32,256,h-and-m-2048-angular-filters,0,48.69312839999475,48.485284099995624,506.0992513999954,464.9402090000003
32,256,h-and-m-2048-angular-no-filters,0,28.173026900010882,34.423272299995006,88.39466760000505,108.81630600000062
32,256,random-match-keyword-100-angular-filters,0,111.46419219999916,135.95124880000026,582.337520699999,1106.2172818000001
32,256,random-match-keyword-100-angular-no-filters,0,109.96563199999946,169.56749659999969,580.9446205999993,691.4830617999996
32,512,h-and-m-2048-angular-filters,0,51.251537399999506,50.92757630000415,704.1712221999987,575.0305254999985
32,512,h-and-m-2048-angular-no-filters,0,29.491557899993495,37.955273899999156,124.71325780000188,148.82683449999604
32,512,random-match-keyword-100-angular-filters,0,111.88031149999915,142.56056340000032,868.3331977999987,1891.9568532999997
32,512,random-match-keyword-100-angular-no-filters,0,110.93240440000227,243.16721340000004,897.4908006000005,1839.4753583000002
64,256,h-and-m-2048-angular-filters,0,49.58743710000272,50.65445550000004,507.56129150000197,450.70879270000296
64,256,h-and-m-2048-angular-no-filters,0,28.642110200002207,37.95467980000103,88.79180029999407,114.75091149999935
64,256,random-match-keyword-100-angular-filters,0,111.23256539999966,141.28064189999986,687.4001731000008,2742.2111641
64,256,random-match-keyword-100-angular-no-filters,0,111.11922190000041,131.2798890999984,692.2395522000006,1779.1359849
64,512,h-and-m-2048-angular-filters,0,50.29613740000059,48.55033149999508,518.2038335999969,368.0385989999995
64,512,h-and-m-2048-angular-no-filters,0,29.62298090000695,35.38572070000373,119.89438630000222,293.6211362000031
64,512,random-match-keyword-100-angular-filters,0,115.32486670000071,139.8001236,1277.7584172000024,3908.524344399999
64,512,random-match-keyword-100-angular-no-filters,0,110.12894999999844,134.288684000001,1107.2093948000002,2742.0237481999993
