m,ef_construct,dataset,dataset_size,qdrant_upload_time,milvus_upload_time,qdrant_total_time,milvus_total_time
16,128,gist-960-euclidean,0,180.06942449999997,198.85785870000007,590.8850894000002,1148.7853982
16,128,glove-100-angular,0,126.88105670000004,126.88098259999992,277.2230961000005,402.6121439000001
16,128,glove-25-angular,0,27.15924559999985,57.455923900000926,37.19556520000333,132.49329169999692
16,128,h-and-m-2048-angular-filters,0,39.68682270000136,34.53383490000124,383.11237090000213,336.66088090000267
16,128,h-and-m-2048-angular-no-filters,0,23.284004899993306,27.9676541000008,58.38691299999482,77.015230099998
16,128,laion-small-clip,0,10.631587041993043,12.18387566698948,30.704392125000595,33.6067508339911
16,128,random-100-euclidean,0,4.200366799999983,4.422425999999973,14.244879300000093,12.261424300000044
16,128,random-match-keyword-100-angular-filters,0,109.95217489999959,121.8475004,180.14049780000096,493.6977277
16,128,random-match-keyword-100-angular-no-filters,0,108.04009589999987,107.72237930000028,263.3330320000023,389.3290471
32,128,gist-960-euclidean,0,199.33103189999974,187.9539939000001,660.4474501999998,1131.7421934000004
32,128,glove-100-angular,0,128.90169870000136,157.24570169999993,309.2383155000007,534.1761228
32,128,glove-25-angular,0,46.841120400000364,79.0220399999962,56.88133150000067,170.79658619999827
32,128,h-and-m-2048-angular-filters,0,48.629851400000916,48.652413899995736,395.9874079000001,262.4945019999941
32,128,h-and-m-2048-angular-no-filters,0,28.249833800000488,34.81242100000236,73.38663269999961,83.18705000000045
32,128,laion-small-clip,0,10.903286875007325,11.257540999999037,30.955895209001028,35.23153479100438
32,128,random-100-euclidean,0,4.270986100000073,4.575542700000142,14.308238900000106,12.4933774000001
32,128,random-match-keyword-100-angular-filters,0,112.16366979999839,131.0186521999999,377.6642017999984,698.6839794999999
32,128,random-match-keyword-100-angular-no-filters,0,110.36718899999687,125.65199570000004,370.8384505999966,471.3394108000002
32,256,gist-960-euclidean,0,182.34845710000036,259.87224960000003,437.8764949000001,1993.7127987000003
32,256,glove-100-angular,0,129.39159169999948,169.46762089999993,485.1028563,834.4537572999998
32,256,glove-25-angular,0,43.97753340000054,78.90076850000332,54.02925949999917,250.0562584000072
32,256,h-and-m-2048-angular-filters,0,48.69312839999475,48.485284099995624,506.0992513999954,464.9402090000003
32,256,h-and-m-2048-angular-no-filters,0,28.173026900010882,34.423272299995006,88.39466760000505,108.81630600000062
32,256,laion-small-clip,0,9.63435816699348,12.091245082992828,29.687646584003232,45.64237962498737
32,256,random-100-euclidean,0,4.161115899999913,4.427390600000081,14.195197799999733,11.880933600000162
32,256,random-match-keyword-100-angular-filters,0,111.46419219999916,135.95124880000026,582.337520699999,1106.2172818000001
32,256,random-match-keyword-100-angular-no-filters,0,109.96563199999946,169.56749659999969,580.9446205999993,691.4830617999996
32,512,gist-960-euclidean,0,194.56938569999966,310.6259551000003,1602.6885819,3357.715449800001
32,512,glove-100-angular,0,129.14687260000028,150.36445420000018,835.5290791999996,1386.1064562000001
32,512,glove-25-angular,0,44.53552450000279,81.41429430000426,54.572396800002025,401.66200899999967
32,512,h-and-m-2048-angular-filters,0,51.251537399999506,50.92757630000415,704.1712221999987,575.0305254999985
32,512,h-and-m-2048-angular-no-filters,0,29.491557899993495,37.955273899999156,124.71325780000188,148.82683449999604
32,512,laion-small-clip,0,9.88793391699437,11.356809583987342,39.96567224999308,67.23795020898979
32,512,random-100-euclidean,0,4.311352799999895,4.569701100000202,14.34872150000001,12.315441400000054
32,512,random-match-keyword-100-angular-filters,0,111.88031149999915,142.56056340000032,868.3331977999987,1891.9568532999997
32,512,random-match-keyword-100-angular-no-filters,0,110.93240440000227,243.16721340000004,897.4908006000005,1839.4753583000002
64,256,gist-960-euclidean,0,209.09289759999956,257.75982079999994,494.70003110000016,1736.4474831000002
64,256,glove-100-angular,0,129.2799318999987,150.50755200000003,530.0756259999998,1056.2336212
64,256,glove-25-angular,0,43.28821489999973,84.8048914999963,53.32676509999874,276.1641163000022
64,256,h-and-m-2048-angular-filters,0,49.58743710000272,50.65445550000004,507.56129150000197,450.70879270000296
64,256,h-and-m-2048-angular-no-filters,0,28.642110200002207,37.95467980000103,88.79180029999407,114.75091149999935
64,256,laion-small-clip,0,10.675259292009287,10.752699167001992,30.72037758299848,47.4073006670078
64,256,random-100-euclidean,0,4.189969699999892,4.457854900000029,14.224509699999999,11.314272099999926
64,256,random-match-keyword-100-angular-filters,0,111.23256539999966,141.28064189999986,687.4001731000008,2742.2111641
64,256,random-match-keyword-100-angular-no-filters,0,111.11922190000041,131.2798890999984,692.2395522000006,1779.1359849
64,512,gist-960-euclidean,0,191.57157260000076,325.61601580000024,1690.2526031000007,3639.3535414
64,512,glove-100-angular,0,129.06130180000036,152.20341499999995,910.7132560999999,1932.7685028999995
64,512,glove-25-angular,0,46.441008499998134,85.05847699999867,56.49408440000116,465.6247336000015
64,512,h-and-m-2048-angular-filters,0,50.29613740000059,48.55033149999508,518.2038335999969,368.0385989999995
64,512,h-and-m-2048-angular-no-filters,0,29.62298090000695,35.38572070000373,119.89438630000222,293.6211362000031
64,512,laion-small-clip,0,10.651167916003033,12.637370124997688,45.72422899999947,73.69214704200567
64,512,random-100-euclidean,0,4.259747999999945,4.592977299999802,14.29444710000007,12.34969789999991
64,512,random-match-keyword-100-angular-filters,0,115.32486670000071,139.8001236,1277.7584172000024,3908.524344399999
64,512,random-match-keyword-100-angular-no-filters,0,110.12894999999844,134.288684000001,1107.2093948000002,2742.0237481999993
