m,ef_construct,parallel_search,ef_search,dataset,dataset_size,qdrant_total_time,milvus_total_time,qdrant_mean_time,milvus_mean_time,qdrant_mean_precisions,milvus_mean_precisions,qdrant_std_time,milvus_std_time,qdrant_min_time,milvus_min_time,qdrant_max_time,milvus_max_time,qdrant_rps,milvus_rps,qdrant_p95_time,milvus_p95_time,qdrant_p99_time,milvus_p99_time
16,128,1,256,glove-100-angular,0,46.09145650000028,47.96004459999995,0.004504523339993284,0.004625662469999474,0.9272450000000001,0.8271440000000001,0.00037180909644408353,0.0008929850887003141,0.0033031999992090277,0.0031374000000141677,0.007930699999633362,0.051341399999955684,216.95994788101217,208.5068953417948,0.005109300000185613,0.006096285000000988,0.005431802998409694,0.00709096899986662
16,128,1,256,glove-25-angular,0,82.56630929999665,31.43506279999565,0.008123185570046189,0.003016126039972005,0.9999959999999999,0.981585,0.0010921900959758436,0.0011550569409706911,0.0065667000017128885,0.002294800004165154,0.024646600002597552,0.05482710000069346,121.11477532156577,318.1161133230306,0.010109769999689886,0.0035121149965561924,0.012543471998578758,0.004137121997046052
16,128,1,256,h-and-m-2048-angular-filters,0,76.71683119999943,52.76067380000313,0.006796234849963366,0.004367749500036734,0.999976,0.997552,0.002702580353333605,0.0026058087077752002,0.0015079000004334375,0.001924299998790957,0.020186900001135655,0.05522059999930207,130.34949232887598,189.53510787042688,0.012269905004359313,0.007624560001568169,0.014805038998892997,0.013541677003013388
16,128,1,256,h-and-m-2048-angular-no-filters,0,65.20370969999931,79.762773500006,0.005508787210000446,0.006720836130031967,0.99971,0.99926,0.0008339506076922556,0.003943663307728198,0.0033793000038713217,0.0031856999994488433,0.01059930000337772,0.06079330000648042,153.36550705488628,125.37176882395202,0.006797299996833317,0.01559666000175639,0.007365841003775132,0.019495879998503374
16,128,1,256,laion-small-clip,0,21.964715249996516,36.66923520900309,0.00413098192914913,0.006804413523885887,0.9972799999999999,0.8698600000000002,0.0014905045982095703,0.005441434114620307,0.001827415995649062,0.0016640420071780682,0.04668333299923688,0.056301417003851384,227.63782471529163,136.35408460257148,0.005793712198646972,0.019047988957026973,0.007183630650979471,0.02232619999122108
16,128,1,256,random-100-euclidean,0,0.015005499999915628,0.021315499999900567,0.0013366700000005949,0.001970200000005207,1.0,1.0,0.0010511087507909338,0.00017754299198997965,0.0008304000000407541,0.0016709999999875436,0.0044679999998606945,0.00228730000003452,666.4223118227468,469.1421735378785,0.0030140499998992675,0.0022333000000173795,0.004177209999868411,0.002276500000031092
16,128,1,256,random-match-keyword-100-angular-filters,0,21.695907200000875,59.57325739999999,0.0020638021100050537,0.005714649600000485,1.0,0.5583590000000002,0.0005052604216305562,0.002836593132112937,0.0011207000006834278,0.001984600000014325,0.007056700000248384,0.07821769999998196,460.91642574870514,167.86055415529455,0.0027622599997812348,0.009806509999970103,0.0032656289995429714,0.010981982000046174
16,128,1,256,random-match-keyword-100-angular-no-filters,0,40.5305354000011,38.57510600000023,0.003930452820012215,0.0037060749000000213,0.8161800000000001,0.5646800000000001,0.00022684180667183678,0.00072308851790861,0.0034582000007503666,0.002835100000083912,0.006730599998263642,0.0575340999994296,246.72755741587684,259.2345436458409,0.004280229998948925,0.004451720000542991,0.004722970000329955,0.005288222000144745
16,128,1,512,gist-960-euclidean,0,10.542911300000014,21.708134799999925,0.01039545089999865,0.021343776200001913,0.9857400000000001,0.9775600000000001,0.0016672132097737037,0.004168699883275267,0.004874300000210496,0.009099000000105661,0.018817000000126427,0.044670300000007046,94.8504612762889,46.065680410276585,0.01261566500011213,0.02775046499991731,0.014493947999853844,0.03176706800002193
16,128,1,512,glove-100-angular,0,58.43108209999991,64.23355670000001,0.005730068350001784,0.006242373579999503,0.9632119999999998,0.885022,0.0005754521226003982,0.001275559566942899,0.003783300000577583,0.0037652999999409076,0.00938740000128746,0.028385800000023664,171.1417903041028,155.68186651573038,0.006574519999321637,0.008297380000090015,0.007026119998281502,0.010923477999831451
16,128,1,512,glove-25-angular,0,84.95433780000167,35.51063520000025,0.00836044028996912,0.0034192599199770485,0.9999959999999999,0.995292,0.0009974587341461912,0.0009219536268200954,0.006782599994039629,0.0024770000018179417,0.018761999999696855,0.0534992000029888,117.71029306992966,281.6057765139591,0.010294639997300691,0.004029805001846398,0.01227592400056892,0.0045113579941971705
16,128,1,512,h-and-m-2048-angular-filters,0,83.55668159999914,61.81346900000062,0.007452717829972244,0.005269612350023817,0.999984,0.9981,0.003679679099074914,0.004826748848057971,0.0016889999969862401,0.0019449999963399023,0.10724940000363858,0.06788110000343295,119.67923819511884,161.7770392404267,0.015059575000850598,0.0125283200013655,0.018347435000541736,0.025754714003560376
16,128,1,512,h-and-m-2048-angular-no-filters,0,84.28134260000661,100.47355859999516,0.007379594329898828,0.008573151790044357,0.99976,0.99945,0.0013867520122718654,0.004583711884674021,0.0041766999929677695,0.003093100000114646,0.018631099999765866,0.049271700001554564,118.65022188195678,99.52867340761713,0.009514914997271261,0.017164500000944827,0.010987545990792569,0.019861115999956387
16,128,1,512,laion-small-clip,0,25.97320395799761,43.93204554199474,0.004897598387475591,0.008213894957271987,0.99772,0.8713,0.001484099665654749,0.005909944071701647,0.0017112920031649992,0.002259999993839301,0.04504566600371618,0.07555741700343788,192.50609235909886,113.81213732059184,0.0067860538481909335,0.020686139242025094,0.008382180923945272,0.023805065831547845
16,128,1,512,random-100-euclidean,0,0.015235800000027666,0.02069779999999355,0.001360510000040449,0.0019067099999915626,1.0,1.0,0.0011101654583490464,0.00028727482121355345,0.0008886000000529748,0.0015464000000520173,0.004675500000075772,0.0024907000000666812,656.3488625462294,483.1431359856176,0.0031454999999482387,0.0023578149999877946,0.004369500000050266,0.002464123000050904
16,128,1,512,random-match-keyword-100-angular-filters,0,21.19250439999996,92.94761570000003,0.0020149955200162366,0.008909472429999699,1.0,0.5583590000000002,0.0004568015990976804,0.0025170805899086806,0.0011413000011089025,0.00418149999995876,0.006641799998760689,0.09016929999995682,471.8649486277808,107.58748274163634,0.0026415149993226804,0.010273210000030985,0.0029362020004737133,0.014412305000037125
16,128,1,512,random-match-keyword-100-angular-no-filters,0,55.6362326999988,46.16290819999995,0.0054323068200163105,0.00446885266000263,0.89881,0.6960599999999999,0.0003185574552266308,0.0005633233074175905,0.004759699997521238,0.0036823000000367756,0.010093400000187103,0.010579799999504758,179.73898509487353,216.62413374554274,0.005882304999977351,0.005460424999728274,0.006747371000965363,0.006181727000521278
16,128,1,64,gist-960-euclidean,0,4.692978199999743,,0.00455589120000559,,0.8533,,0.0005631409536466059,,0.0032190000001719454,,0.017174799999793322,,213.0843053990864,,0.005188309999948615,,0.005478013999882023,
16,128,1,64,glove-100-angular,0,33.63677330000064,,0.0032655621599911684,,0.8060149999999999,,0.0003864836428528252,,0.002410099999906379,,0.015492399999857298,,297.2936765013608,,0.003930525000851048,,0.004663905001107196,
16,128,1,64,glove-25-angular,0,74.06525099999999,,0.007280010410030081,,0.9999959999999999,,0.0008044634910386574,,0.005855199997313321,,0.020957000000635162,,135.01608196804736,,0.008285615000204414,,0.010780713001440748,
16,128,1,64,h-and-m-2048-angular-filters,0,68.84268680000241,,0.0060263142699899614,,0.9998239999999999,,0.0016457919955209653,,0.001539900003990624,,0.020709599994006567,,145.25871177938467,,0.008713914994950753,,0.009780025000291062,
16,128,1,64,h-and-m-2048-angular-no-filters,0,46.0474930999917,,0.003673076379885606,,0.99854,,0.00040727614664195594,,0.00267730001360178,,0.01597169999149628,,217.16708829914137,,0.004273724990343907,,0.004675415006786352,
16,128,1,64,laion-small-clip,0,18.6598283330095,,0.0034593875423888677,,0.9934200000000001,,0.0010389956238351294,,0.001807583001209423,,0.014501707992167212,,267.9553054169812,,0.0053591127987601805,,0.006699841656227366,
16,128,1,64,random-100-euclidean,0,0.018323300000020026,,0.0016759600000114006,,1.0,,0.001517322299440411,,0.0009271000001263019,,0.006123699999989185,,545.7532213077923,,0.00429656499999282,,0.005758272999989914,
16,128,1,64,random-match-keyword-100-angular-filters,0,21.120569500000784,,0.0020083680299991104,,1.0,,0.00046592446119098237,,0.0011438000001362525,,0.012545399998998619,,473.47208132809243,,0.002630035000856878,,0.002915107999888278,
16,128,1,64,random-match-keyword-100-angular-no-filters,0,26.823199599999498,,0.0025725850800128684,,0.5633799999999999,,0.00028404260603098985,,0.002057400000921916,,0.01839279999694554,,372.81160149142636,,0.002952345001176581,,0.0032884439992994893,
16,128,100,128,gist-960-euclidean,0,2.8131085999998504,3.5050690000000486,0.021563486699998066,0.026337265799998476,0.92829,0.8957600000000001,0.0031241798659835812,0.008205705857880125,0.009259699999802251,0.009274600000026112,0.06697880000001533,0.09558070000002772,355.4786331391732,285.30108822393686,0.024529900000266024,0.040433200000040866,0.026486112000388855,0.051533161000008924
16,128,100,128,glove-100-angular,0,15.252267400001074,11.312494499999957,0.011746133619995453,0.00858172259999892,0.8753690000000001,0.7577020000000001,0.0027220558813349544,0.0036048602967699533,0.005761700000221026,0.004087499999968713,0.0506201999996847,0.06442100000003848,655.640223039841,883.9783303320093,0.016071650000230874,0.0121339649999868,0.019978706000129024,0.016503823999998994
16,128,100,128,glove-25-angular,0,54.443553899996914,7.199581000000762,0.043036069840043635,0.005281777009995858,0.9999959999999999,0.9450440000000001,0.005394581967526647,0.002106098698049788,0.02617439999448834,0.002704400001675822,0.10251400000561262,0.06209410000155913,183.67647377260153,1388.9697192099013,0.049573895001958586,0.0070590100029221505,0.06080538200243609,0.008834173000141167
16,128,100,128,h-and-m-2048-angular-filters,0,33.21208160000242,20.515659999997297,0.016150913659994694,0.007452637409983436,0.999936,0.9959680000000001,0.0052462008514673015,0.004221850686557238,0.0031253999986802228,0.002625899993290659,0.04359060000570025,0.06571200000325916,301.095249627451,487.43252715249315,0.025407125001584062,0.013890210000681672,0.030132984999436306,0.0227387759996782
16,128,100,128,h-and-m-2048-angular-no-filters,0,26.737227600009646,19.42363689999911,0.00982390651992173,0.0052692714899894785,0.99941,0.9981899999999999,0.004506624399472882,0.0008571095373781423,0.004291200006264262,0.003222999999707099,0.0669641000131378,0.03946169999835547,374.0103555088259,514.8366421532755,0.019171909998840417,0.006585709993669297,0.02278258799997276,0.0075442460015619885
16,128,100,128,laion-small-clip,0,38.37917016699794,114.93966154199734,0.046538528974965444,0.3470297552899923,0.9963400000000001,0.8676400000000002,0.044199765305357366,0.21478478144540328,0.0029770840046694502,0.007314082991797477,0.5335326250060461,2.027394333999837,130.2790023401672,43.501085116498885,0.1207634874874202,0.7490339434036288,0.2122259645789746,1.0883769692490755
16,128,100,128,random-100-euclidean,0,0.07001709999985906,0.07367459999989023,0.01777710000001207,0.007726350000007187,1.0,1.0,0.007724385924788961,0.0025523125965577756,0.0023054000000684027,0.003260800000020936,0.022316599999840037,0.011103900000080102,142.82225342123752,135.73198904391606,0.02227218499990613,0.010710105000066505,0.022307716999853254,0.011025141000077383
16,128,100,128,random-match-keyword-100-angular-filters,0,6.327012100000502,21.520773400000053,0.0047426740599956245,0.013443463159999681,1.0,0.5583590000000002,0.0014301742070569091,0.008029366577041864,0.001996700000745477,0.004313000000024658,0.035100200000670156,0.12501109999993787,1580.5248736602236,464.6673153484333,0.0069428149989107625,0.023907834999920392,0.007914913001186505,0.052895312999989993
16,128,100,128,random-match-keyword-100-angular-no-filters,0,13.326424800001405,9.702307499999733,0.01023203258999456,0.00738182367999434,0.6980400000000001,0.5111899999999999,0.0020910569190632517,0.002515250056035469,0.0055371999987983145,0.00399939999988419,0.057200699997338234,0.06183540000074572,750.3888064560981,1030.6826494625402,0.012771315000100003,0.00999050499972327,0.016207015998297727,0.012426871999959987
16,128,100,256,gist-960-euclidean,0,4.494933499999661,5.449892399999953,0.03503789419999521,0.04210687719999828,0.9679000000000001,0.9491000000000002,0.004446232578069186,0.01239319219833147,0.016508600000179285,0.014893000000029133,0.06680980000010095,0.13610959999982697,222.47270176523756,183.48986119432533,0.04155315499997413,0.06497937499987073,0.045428201000268016,0.07684235099985925
16,128,100,256,glove-100-angular,0,20.159013600001344,12.511192400000027,0.01562806642000269,0.009563273259999573,0.9272450000000001,0.8284289999999999,0.002331459573149783,0.0025430705704360683,0.007717700000284822,0.004843700000037643,0.045371099999101716,0.05491659999984222,496.05601734399016,799.2843272076911,0.01915965499993035,0.013439660000062753,0.021731085000556063,0.017229775999908277
